Month,Account,Cost,,,,,,,,
Jan,,,836.8,,,,,,,
1,BGE,351.21,,,,,,,,
2,Comcast,137.3,,,,,,,,
3,Cricket,100,,,,,,,,
4,City-Of-Annapolis,248.29,,,,,,,,
Feb,,,13885.13,,,,,,,
1,mortgage,1853.39,,,,,,,,
2,cobra,831.74,,,,,,,,
3,Rose-property,10000,cash,,,,,,,
4,Rose-assist,1200,cash,,,,,,,
March,,,19623.73,,,,,,,
,mortgage,1853.39,,,,,,,,
,cobra,831.74,,,,,,,,
,leesburg comcast,129.81,,,,,,,,
5,Ellie-gambling,180,,,,,,,,
5,Marriot-ellie-denise,160.28,,,,,,,,
5,Ellie-alchohal,80,approximate,,,,,,,
6,Social Barber,140.4,,,,,,,,
6,Atm cash,103.5,,,,,,,,
8,219 cigar bar,117.12,cc,,,,,,,
7,chart house,221.48,cc,,,,,,,
8,mcds,7.64,cash,"¼ pounder, small fry",,,,,,
7,cirgars,35.62,cc,,,,,,,
7,lunch,30,cash,,,,,,,
7,gas,62.73,cc mnt,,,,,,,
7,parking,20,cash,,,,,,,
9,smokes,11.5,cash,,,,,,,
12,usaa visa,300,from usasa bnk,for usaa car insrnc,,,,,,
10,beer smoke,21.82,cash,,,,,,,
10,beer+ norms,40.33,cash,,,,,,,
10,ellie ,150,cash,,,,,,,
12,usaa visa,150,from usasa bnk,for annapolis ½ marathon,,,,,,
11,mcds,9.21,cash,egg mcmuffin meal,,,,,,
12,snak,5.68,cash,07/11/25,,,,,,
13,snak,5.68,cash,,,,,,,
14,giant,14.28,usaa cc,mouth wash,,,,,,
14,Festival wine vsop,54.49,usaa cc,,,,,,,
14,Chick-fill-a,12.77,usaa cc,,,,,,,
14,California-pizza,22.78,usaa cc,,,,,,,
15,Texas-road-house,100,cash,,,,,,,
15,Bar-louei,60,cash,,,,,,,
15,Food-Lion,8.17,cash,eggs,,,,,,
15,mcds,8.36,cash,egg mcmuffin meal,,,,,,
15,RebbelionBurbon,100,cash,,,,,,,
15,snack,19.4,cash,Seven-11,,,,,,
16,carwash,20,cash,for sassy,,,,,,
16,Costco,387.27,usaa cc,,,,,,,
19,gas,10,cash,,,,,,,
17,Vaabc,43.2,usaa cc,henesy plus,,,,,,
17,hmart,193.12,usaa cc,Shabu-shabu,,,,,,
18,ellie ,1400,cash,,,,,,,
18,Teeth-whitener,95.92,usaa cc,samson dental,,,,,,
19,snack,5.68,cash,Seven-11,,,,,,
19,gas,10,cash,west annapolis,,,,,,
19,grauls,10.8,cash,eggs plus,,,,,,
19,Cricket,50,usaa cc,,,,,,,
19,comcast,137.3,usaa cc,,,,,,,
19,bge,531.42,usaa cc,,,,,,,
20,ionos,180,crypto.com,domain names,,,,,,
20,ezpassmd,100,crypto.com,,,,,,,
21,gas,56.33,crypto.com,,,,,,,
21,Nap-cap-cleaners,45.27,crypto.com,,,,,,,
21,montego+,12.5,crypto.com,,,,,,,
22,sass,1200,cash,,,,,,,
22,ned devines,150,cash,,,,,,,
22,lost fox,18,cash,,,,,,,
22,Chick-fill-a,5.93,cash,,,,,,,
22,Bluemont-brewery,35.5,cash,,,,,,,
23,costco,291.14,usaa cc,groceries,paid,,yes,,,
23,sheetz,11.29,cash,gas,,,,,,
24,t4amex,2800,cash,Pay-cc,,,,,,
24,gas,52.43,crypto.com,gas,,,,,,
24,Coastal-flats,97.94,crypto.com,Restaurant-lunch,,,,,,
24,uniqui usa,74.09,crypto.com,clothes,,,,,,
24,Sugarpalm-thia,55.67,usaa cc,Restaurant-dinner,paid,,yes,,,
24,Sugarpalm-thia,20,cash,Restaurant-dinner,tip,,,,,
24,Union-street,31.08,usaa cc,Restaurant-drinks,paid,,yes,,,
24,Union-street,10,cash,Restaurant-drinks,tip,,,,,
24,Yard-house,104.86,usaa cc,Restaurant-drinks,paid,,yes,,,
24,Yard-house,30,cash,Restaurant-drinks,tip,,,,,
25,mcds,9,usaa cc,Restaurant-breakfast,paid,,yes,,,
26,snack,10.17,crypto.com,,,,,,,
28,southwest,985.94,usaa cc,Flight-to-midway,paid,,yes,,,
28,Chick-fill-a,5.93,crypto.com,,,,,,,
28,eddieV's,26.2,cash,,,,,,,
28,ATM-fee,12,crypto.com,Capital-one-annapolis,,,,,,
29,Seven11,18.89,cash,,,,,,,
29,SharpTax,265.2,usaa cc,,paid,,yes,,,
29,Chadwicks,120,cash,,,,,,,
29,Terminal-Fee,3,crypto.com,,,,,,,
29,Patsy,100,cash,Restaurant-dinner,,,,,,
29,earls,20,cash,Restaurant-drinks,,,,,,
29,greenhouse,240,cash,Restaurant-drinks,,,,,,
29,ATM-fee,6,crypto.com,Capital-one-tysons,,,,,,
30,costco,211.68,crypto.com,,,,,,,
30,Sheetz-2622,30,crypto.com,,,,,,,
30,Killarney-house,86.42,crypto.com,,,,,,,
30,Killarney-house-tip,20,cash,,,,,,,
30,giant,22.51,cash,,,,,,,
30,Colpark-loc-960,5,crypto.com,,,,,,,
31,gym,70,cash,,,,,,,
31,Personal-trainer,30,cash,"Ben brake, normal 75.00/hour",,,,,,
31,gas,47.26,crypto.com,15.757 at 2.999/gal,,,,,,
31,"Oil, 2 quarts",9.98,crypto.com,,,,,,,
31,cvs,2.7,crypto.com,,,,,,,
31,comcast,137.7,usaa cc,,paid,y,,,,
31,airbnb,237.21,usaa cc,nyc trip,paid,y,,,,
31,amtrack,257,usaa cc,nyc trip,paid,y,,,,
31,Amtrack-insurance,16,usaa cc,"nyc trip, amtrak insurance",paid,y,,,,
31,cobra,831.74,usaa cc,for feb payment,,,,,,
31,Chick-fill-a,5.59,cash,,,,,,,
31,Denise,80,cash,,,,,,,
31,bgE,500,usaa cc,,paid,y,,,,
31,BGE-fuckn-fee,2.3,usaa cc,,paid,y,,,,
31,mortgage,1853.39,,,,,,,,
April,,,64346.38,,,,,,,
1,sakura,171.12,crypto.com,Dinner-w-T,,,,,,
1,Cash-tip,13,,For-above,,,,,,
2,Seven11,7.56,Mnt-cc,water-4-T,,,,,,
2,COLPARK LOC 960,18,Mnt-cc,Parking-reston,,,,,,
2,mcds,9,Mnt-cc,breakfast,,,,,,
2,Unchained-wdr-fee,25,Mnt-cc,Ira-withdraw-fee,,,,,,
3,River-fee,14.15,river,btc-2-usd-cvrt-fee,"river $82,667.51 / BTC",,,,,
3,River-fee,9.6,river,btc-2-usd-cvrt-fee,"River $82,534.21 / BTC",,"Gecko $83,078.00 / btc",,,
3,River-fee,20,river,btc-2-usd-cvrt-fee,"River $82,320.86 / BTC",,"Apr 3, 2025, 3:24 PM PDT",,,
3,River-fee,18,river,btc-2-usd-cvrt-fee,"River $82,267.74 / BTC",,,,,
3,grauls,6.38,food,,paid,no,,,,
3,Seven11,7.48,snack,,paid,no,,,,
3,Ledos-Vienna,32.11,lunch w mark,,paid,no,,,,
4,AmEx,2000,Cap-one,,,,,,,
4,gas,57.99,usaa cc,,paid,no,,,,
4,smokes,20.14,crypto.com,,,,,,,
4,Ellie,300,crypto.com,,,,,,,
4,ATM-fee,3,crypto.com,,,,,,,
5,COLPARK LOC 960,10,crypto.com,,,,,,,
5,mcds,9.21,crypto.com,,,,,,,
5,gas,57.99,usaa cc,18.688 at 3.099 / gal,paid,no,,,,
5,mcds,9.08,crypto.com,,,,,,,
5,Cmx-movie-tck,28,crypto.com,,,,,,,
5,Cmx-popcorn+,29.82,crypto.com,,,,,,,
5,Texas-road-house,62.56,crypto.com,,,,,,,
6,costco,218.26,crypto.com,,,,,,,
7,gas,50.31,crypto.com,16.445 at 3.059 / gal ,,,,,,
7,Rose-land,1500,cash,,,,,,,
7,Chick-fill-a,12.77,crypto.com,,,,,,,
7,ATM-fee,3,crypto.com,Withdraw-fee-CapOne,,,,,,
7,cash ,280,cash,spa,,,,,,
7,Micro-center,29.63,crypto.com,Five-usb-sticks,,,,,,
8,Hair-cut-shave,120,cash,,,,,,,
9,snack,13.5,cash,nyc trip snack amtrak,,,,,,
9,lunch,2.17,Mnt-cc,nyc trip extra wtr w lunch,,,,,,
9,lunch,50.03,Mnt-cc,Nyc trip lunch w Susan,,,,,,
9,Metro-card,16.25,Mnt-cc,Nyc trip subway cards,,,,,,
9,smokes,18.5,,nyc trip wait 4 ben,,,,,,
9,dinner,100,cash,nyc trip lght house,,,Includes 30 tip,,,
9,dinner,50.1,cash,nyc trip dnr w ben,,,Tip ?,,,
10,breakfast,10,cash,nyc trip  ,,,,,,
10,coffee,4.5,cash,nyc trip   ,,,,,,
10,uber,17.92,Mnt-cc,nyc trip,,,,,,
10,uber,18.98,Mnt-cc,nyc trip,,,,,,
10,uber,21.94,Mnt-cc,nyc trip,,,,,,
10,lunch,120,cash,"nyc trip ben, erin cake",,,Includes 30 tip,,,
10,drink,13,cash,nyc trip at monhan ,,,,,,
10,snack,11.39,cash,nyc trip at monhan ,,,,,,
10,amtrack ,13.5,cash,nyc trip,,,,,,
10,parking,21,crypto.com,nyc trip bwi parking,,,,,,
11,Satoshi-paciolli,1500,unchained,in btc,,,"0.01810208 BTC$1,500.99",,,
11,Truist-cc,400,Trx-from-4000,,,,,,,
11,Pizza-hut,20.35,cash,,,,,,,
12,Chick-fill-a,12.77,cash,,,,,,,
12,Cell-phone-covers,55,cash,,,,,,,
12,eddieV's,140,cash,,,,,,,
12,River-fee,3.04,river,btc-2-usd-cvrt-fee,,,"$83,764.56 / BTC","Gecko 84,089.00",2 Move 200 to usaa for cc pay,complete
14,Minuteman-press,81.03,cash,,,,,,,
14,gas,40,cash,13.338 @ 2.999 / gal,,,,,,
14,Joe Bank,26.48,cash,clothes,,,,,,
14,Seven11,13.61,cash,snack,,,,,,
14,Chick-fill-a,12.77,cash,,,,,,,
14,Sheetz-711,1.79,cash,,,,,,,
15,starbuck,2.81,cash,,,,,,,
15,mcds,8.88,cash,,,,,,,
16,River-fee,20.2,river,,,,"$83,517.17 / BTC","Gecko 83,928",2 sell $2000 worth btc ,
16,Performance4Life,285,chiropractor,Equity-health-HSA,,,Nina-ankle-tendenidious,,,
16,Performance4Life,3249,chiropractor,Equity-health-HSA,,,Nina-ankle-tendenidious,,,
16,Unchained-wdr-fee,25,mtb,,,,,,,
16,,,,$0.58 (0.00000684 BTC),,,,,,
18,gas,40,cash,10.529 g @ 3.799 / g ,,,,,,
18,eddieV's,130,cash,,,,,,,
19,Amtrack-ticket,89,usaa cc,,,,,,,
19,Chick-fill-a,12.77,cash,,,,,,,
19,Pizza-dominos,23.49,cash,,,,,,,
19,Cricket,90,usaa cc,,,,,,,
19,Amazon-prime,15.89,usaa cc,,,,,,,
19,Interest-on-purchase,157.13,usaa cc,,,,,,,
19,Interest-on-cash,63.75,usaa cc,,,,,,,
19,gas,40,cash,13.162 g @ 3.039 / g,,,,,,
19,grauls,17.37,food,,,,,,,
20,smokes,15.76,cash,wawa,,,,,,
21,uber,13.74,Mnt-cc,,,,,,,
21,Jeep-tow,90,cash,,,,,,,
22,starbuck,8,cash,,,,,,,
22,Jeep-tow,90,eom spot,marc bowen,,,,,,
22,heloc,600,Truist-4000,today's balance,"$49,536.38",,,,,
22,BGE,200,usaa cc,,,,,,,
22,Bge-convience-fee,2.3,usaa cc,,,,,,,
22,smokes,20.14,cash,,,,,,,
22,capital-1-atm-fee,3,crypto.com,,,,,,,
23,IRS-taxes,24593,Cap-one,ach route to irs,,,,,,
23,mcds,8.49,cash,,,,,,,
23,Chesapeak-imprts,262.19,Mtb-dc,post purchas inspect,,,,,,
23,Chick-fill-a,12.77,cash,,,,,,,
24,Chick-fill-a,14.46,cash,,,,,,,
24,Vsg*Scanner.io,24.9,crypto.com,,,,,,,
24,Amway-SA8,60,cash,,,,,,,
25,Usaa-truck-insrnc,100.93,Usaa-bank,,,,,,,
25,Md-taxes,20000,Mtb-check-8068,,,,,,,
25,present-4-luke,76.83,cash,johnny walking green(e),eastport liquors,,,,,
25,snack,1.5,cash,eastport liqurs,,,,,,
25,Seven11,8.48,cash,,,,,,,
25,eddieV's,167.8,Mnt-cc,,,,,,,
26,Seven11-dulles,20.29,Mtb-cc,,,,,,,
26,Jiffy-lube,586.7,Usaa-cc,paid,no,,,,,
26,popeyes,17.35,Mnt-cc,,,,,,,
26,Brooks-brother,485.48,Usaa-cc,paid,no,,,,,
26,madigans,53,cash,drinks,,,,,,
26,Regal-cinema,28.98,Usaa-cc,paid,no,,,,,
26,Regal-cinema,38.62,cash,,,,,,,
27,Costco-gas,52.45,,,,,,,,
27,costco,419.78,Usaa-cc,paid,no,,,,,
27,Seven11,3.3,cash,,,,,,,
28,grauls,,Mtb-cc,,,,,,,
28,River-fee,12.2,river,,,,,,,
28,choptank,233.11,Usaa-cc,paid,no,,,,,
29,cvs,4.23,mtbs,,,,,,,
29,cvs,38.45,Mtb-cc,,,,,,,
29,ellie,200,Mtb-bank-cash,,,,,,,
29,Drink-mgm,10,cash,,,,,,,
30,tip,20,cash,,,,,,,
30,chevy,382.04,Mnt-back-tr,,,,,,,
30,Car-insurance,301.3,Mnt-back-tr,,,,,,,
30,Usaa-visa,2000,Mnt-back-tr,NEED to match to paid,no,,,,,
30,cobra,831.74,Mtb-cc,,,,,,,
30,,0,eom spot,,,,,,,
May,,,65651.12,,,,,,,
1,Chick-fill-a,14.46,cash,,,,,,,
1,Micro-center,152.52,Usaa-cc,paid,no,,,,,
1,gas,52.26,Mtb-cc,13.542g / $3.859g,,,,,,
2,Cafe-renasnce-french,180.41,Usaa-cc,paid,no,,,,,
3,eddieV's,50,cash,,,,,,,
4,costco,196.89,cash,,,,,,,
4,capital-1-atm-fee,3,crypto.com,on600withdrawl,,,,,,
4,Seven11,47.61,crypto.com,14.432G / $3.299g,,,,,,
4,Seven11,13.43,cash,,,,,,,
5,capital-1-atm-fee,3,Atm-fee,,,,,,,
5,capital-1-atm-fee,5,By-crypto.com,,,,,,,
5,Saab-limo,160,cash,118(ride)+40(tip),,,,,,
5,RosattisCdrLkIn,64.34,cash,,,,,,,
5,VanTilCdrLk,12.81,Mnt-cc,Coffee-n-honey,,,,,,
6,CVSpharm-CdrLk,6.78,cash,Guat-rx,,,,,,
6,CedarLkKitchen,15,cash,tip,,,,,,
6,HarryOsCdrLk,20,cash,tip,,,,,,
,,,,,,,,,,
6,JaxCrownPtIN,3,cash,,,,,,,
6,CdrLkExpressMed,125,Usaa-cc0,,,,,,,
7,SIPCedarLkCoffe,15,cash,tip,,,,,,
7,CederLakeIceCrm,19.8,cash,,,,,,,
7,CdrLkExpressMed,40,Usaa-cc,paid,no,,,,,
7,CdrLkExpressMed,45,Usaa-cc,paid,no,,,,,
8,CedarLkKitchen,20,cash,tip,,,,,,
8,Tewlve-is-rest-IN,20,cash,tip,,,,,,
9,Hudson-Midway,94.33,cash,Airport-books+,,,,,,
9,Ink-midway-water,4.64,cash,,,,,,,
9,Saab-limo,150,cash,118(ride)+30(tip),,,,,,
9,Chesapeak-imprts,2659.58,Usaa-cc,paid,no,,,,,
9,gas,62.59,crypto.com,16.219G / $3.859g ,,,,,,
9,capital-1-atm-fee,3,crypto.com,on500withdrawl,,,,,,
9,capital-1-atm-fee,10,By-crypto.com,on500withdrawl,,,,,,
10,parkingBoroTower,10,crypto.com,,,,,,,
10,mcds,8.68,,,,,,,,
10,Montmgy-park-tkt,45,crypto.com,,,,,,,
10,City-Of-Annapolis,248.26,crypto.com,utility bill,,,,,,
10,BGE,500,Mnt-cc,,,,,,,
10,BGE-fuckn-fee,2.3,Mnt-cc,,,,,,,
10,gas,50,cash,,,,,,,
10,sweetwater,43,cash,,,,,,,
10,costco,225.55,cash,,,,,,,
10,Texas-road-house,100,cash,,,,,,,
11,grauls,16.71,cash,,,,,,,
11,Jiffy-lube,38.85,cash,"nail in tire, left rear, plug",,,,,,
12,Seven11,2.64,cash,,,,,,,
12,grauls,12.07,cash,,,,,,,
12,ezpassmd,100,crypto.com,,,,,,,
12,SugarPalm-thia,220,cash,,,,,,,
12,HarrisTeeter,124.71,Mnt-cc,,,,,,,
13,mcds,8.89,Mnt-cc,,,,,,,
15,Hair-cut-shave,121,cash,,,,,,,
15,wawa,17.2,cash,,,,,,,
16,Chick-fill-a,12.77,cash,,,,,,,
16,Pay-truist-visa,400,cash,,,,,,,
16,gas,78.84,crypto.com,20.43G @ $3.859/g,,,,,,
16,eddieV's,118,cash,,,,,,,
17,Mint-mobile,75,crypto.com,,,,,,,
17,Mint-mobile-fees,7.26,crypto.com,,,,,,,
17,Cricket,100,crypto.com,,,,,,,
17,Chick-fill-a,5.93,crypto.com,,,,,,,
17,smokes,8.49,crypto.com,,,,,,,
17,Cap-one-fee,3,crypto.com,Capital-one-annapolis,,,,,,
17,Atm-fee,12,crypto.com,Capital-one-annapolis,,,,,,
18,costco,284.63,crypto.com,,,,,,,
18,walmart,157.83,crypto.com,,,,,,,
19,Drinks-at-cg-banqt,50,cash,,,,,,,
19,snacks,14.36,Usaa-cc,paid,no,snacks,,,,
19,Fedex-kinko,10.26,Mnt-cc,,,,,,,
20,denny's,30,cash,,,,,,,
20,cgs,41.99,cash,,,,,,,
20,Luke-cg-grad-exps,100,cash,,,,,,,
20,Deck-maddir-gift,100,cash,,,,,,,
22,snack,3.72,cash,,,,,,,
22,snack,7.99,cash,,,,,,,
23,Chick-fill-a,12.77,crypto.com,,,,,,,
23,eddieV's,102.53,crypto.com,,,,,,,
23,EddieV's-tip,20,cash,,,,,,,
23,Seven11,9.48,cash,,,,,,,
24,comcast,137.3,crypto.com,,,,,,,
25,gas,61.07,crypto.com,west street mart,aka liberty gas(?),,,,,
25,mcds,9.32,cash,,,,,,,
25,costco,169.86,crypto.com,,,,,,,
25,costco,$151.59,Usaa-cc,,,,,,,
25,Patomac-cruz,100,cash,,,,,,,
25,Dc-parking,37,Mnt-cc,,,,,,,
26,gas,37.99,crypto.com,Super 9.743 G @ 3.899/g,,,,,,
27,Cap-one-fee,3,crypto.com,,,,,,,
27,crypto.com-fee,12,crypto.com,Capital-one-tysons,,,,,,
27,SugarPalm-thia,619.27,Usaa-cc,,,,,,,
27,ellie ,1000,cash,,,,,,,
27,Micro-center,167.38,crypto.com,,,,,,,
27,crypto.com-fee,3,crypto.com,,,,,,,
27,Truist-atm-fee,12,crypto.com,,,,,,,
